1	137
Depth	Temp
0.000	-9.653
0.001	-9.655
0.002	-9.660
0.005	-9.670
0.010	-9.689
0.020	-9.707
0.030	-9.720
0.040	-9.734
0.050	-9.773
0.080	-9.799
0.100	-9.823
0.120	-9.844
0.140	-9.862
0.160	-9.873
0.180	-9.883
0.200	-9.897
0.220	-9.910
0.240	-9.921
0.260	-9.930
0.280	-9.936
0.300	-9.938
0.320	-9.935
0.340	-9.933
0.360	-9.934
0.380	-9.934
0.400	-9.934
0.420	-9.933
0.440	-9.933
0.460	-9.932
0.480	-9.931
0.500	-9.930
0.520	-9.929
0.540	-9.928
0.560	-9.927
0.580	-9.926
0.600	-9.924
0.620	-9.923
0.640	-9.922
0.660	-9.920
0.680	-9.919
0.700	-9.918
0.720	-9.916
0.740	-9.915
0.760	-9.913
0.780	-9.911
0.800	-9.910
0.820	-9.908
0.840	-9.907
0.860	-9.905
0.880	-9.903
0.900	-9.902
0.920	-9.900
0.940	-9.898
0.960	-9.897
0.980	-9.895
1.000	-9.891
1.050	-9.887
1.100	-9.883
1.150	-9.879
1.200	-9.875
1.250	-9.871
1.300	-9.867
1.350	-9.863
1.400	-9.858
1.450	-9.854
1.500	-9.850
1.550	-9.846
1.600	-9.841
1.650	-9.837
1.700	-9.832
1.750	-9.828
1.800	-9.823
1.850	-9.819
1.900	-9.814
1.950	-9.810
2.000	-9.801
2.100	-9.792
2.200	-9.782
2.300	-9.773
2.400	-9.764
2.500	-9.754
2.600	-9.745
2.700	-9.736
2.800	-9.726
2.900	-9.717
3.000	-9.707
3.100	-9.697
3.200	-9.688
3.300	-9.678
3.400	-9.669
3.500	-9.659
3.600	-9.649
3.700	-9.640
3.800	-9.630
3.900	-9.620
4.000	-9.610
4.100	-9.601
4.200	-9.591
4.300	-9.581
4.400	-9.571
4.500	-9.561
4.600	-9.552
4.700	-9.542
4.800	-9.522
5.000	-9.493
5.300	-9.453
5.700	-9.423
6.000	-9.374
6.500	-9.324
7.000	-9.274
7.500	-9.215
8.000	-9.156
8.500	-9.097
9.000	-9.038
9.500	-8.979
10.000	-8.920
10.500	-8.861
11.000	-8.802
11.500	-8.743
12.000	-8.684
12.500	-8.625
13.000	-8.508
14.000	-8.391
15.000	-8.274
16.000	-8.158
17.000	-8.042
18.000	-7.927
19.000	-7.812
20.000	-7.697
21.000	-7.470
23.000	-7.013
28.000	-6.578
33.000	-5.290
50.000	-4.726
60.000	-4.320
70.000	-4.079
80.000	-4.000
